Timestamp,Flow (SLPM),Total (NCM),Temperature (°C),Battery
2025-12-01 10:00:50,0.00,0.000,25.0,N/A
2025-12-01 10:00:51,0.00,0.000,25.0,N/A
2025-12-01 10:00:52,0.00,0.000,25.0,N/A
2025-12-01 10:00:53,0.00,0.000,25.0,N/A
2025-12-01 10:00:54,0.00,0.000,25.0,N/A
2025-12-01 10:00:55,0.00,0.000,25.0,N/A
2025-12-01 10:00:56,0.00,0.000,25.0,N/A
2025-12-01 10:00:57,0.00,0.000,25.0,N/A
2025-12-01 10:00:58,0.00,0.000,25.0,N/A
2025-12-01 10:00:59,0.00,0.000,25.0,N/A
2025-12-01 10:01:01,0.00,0.000,25.0,N/A
2025-12-01 10:01:02,0.00,0.000,25.0,N/A
2025-12-01 10:01:03,0.00,0.000,25.0,N/A
2025-12-01 10:01:04,0.00,0.000,25.0,N/A
2025-12-01 10:01:05,0.00,0.000,25.0,N/A
2025-12-01 10:01:06,0.00,0.000,25.0,N/A
2025-12-01 10:01:07,0.00,0.000,25.0,N/A
2025-12-01 10:01:08,0.00,0.000,25.0,N/A
2025-12-01 10:01:09,0.00,0.000,25.0,N/A
2025-12-01 10:01:10,0.00,0.000,25.0,N/A
2025-12-01 10:01:11,0.00,0.000,25.0,N/A
2025-12-01 10:01:12,0.00,0.000,25.0,N/A
2025-12-01 10:01:13,0.00,0.000,25.0,N/A
2025-12-01 10:01:14,0.00,0.000,25.0,N/A
2025-12-01 10:01:15,0.00,0.000,25.0,N/A
2025-12-01 10:01:16,0.00,0.000,25.0,N/A
2025-12-01 10:01:17,0.00,0.000,25.0,N/A
2025-12-01 10:01:18,0.00,0.000,25.0,N/A
2025-12-01 10:01:19,0.00,0.000,25.0,N/A
2025-12-01 10:01:20,0.00,0.000,25.0,N/A
2025-12-01 10:01:21,0.00,0.000,25.0,N/A
2025-12-01 10:01:22,0.00,0.000,25.0,N/A
2025-12-01 10:01:23,0.00,0.000,25.0,N/A
2025-12-01 10:01:25,0.00,0.000,25.0,N/A
2025-12-01 10:01:26,0.00,0.000,25.0,N/A
2025-12-01 10:01:27,0.00,0.000,25.0,N/A
2025-12-01 10:01:28,0.00,0.000,25.0,N/A
2025-12-01 10:01:29,0.00,0.000,25.0,N/A
2025-12-01 10:01:30,0.00,0.000,25.0,N/A
2025-12-01 10:01:31,0.00,0.000,25.0,N/A
2025-12-01 10:01:32,0.00,0.000,25.0,N/A
2025-12-01 10:01:33,0.00,0.000,25.0,N/A
2025-12-01 10:01:34,0.00,0.000,25.0,N/A
2025-12-01 10:01:35,0.00,0.000,25.0,N/A
2025-12-01 10:01:36,0.00,0.000,25.0,N/A
2025-12-01 10:01:37,0.00,0.000,25.0,N/A
2025-12-01 10:01:38,0.00,0.000,25.0,N/A
2025-12-01 10:01:39,0.00,0.000,25.0,N/A
2025-12-01 10:01:40,0.00,0.000,25.0,N/A
2025-12-01 10:01:41,0.00,0.000,25.0,N/A
2025-12-01 10:01:42,0.00,0.000,25.0,N/A
2025-12-01 10:01:44,0.00,0.000,25.0,N/A
2025-12-01 10:01:45,0.00,0.000,25.0,N/A
2025-12-01 10:01:46,0.00,0.000,25.0,N/A
2025-12-01 10:01:47,0.00,0.000,25.0,N/A
2025-12-01 10:01:48,0.00,0.000,25.0,N/A
2025-12-01 10:01:49,0.00,0.000,25.0,N/A
2025-12-01 10:01:50,0.00,0.000,25.0,N/A
2025-12-01 10:01:51,0.00,0.000,25.0,N/A
2025-12-01 10:01:52,0.00,0.000,25.0,N/A
2025-12-01 10:01:53,0.00,0.000,25.0,N/A
2025-12-01 10:01:54,0.00,0.000,25.0,N/A
2025-12-01 10:01:55,0.00,0.000,25.0,N/A
2025-12-01 10:01:56,0.00,0.000,25.0,N/A
2025-12-01 10:01:57,0.00,0.000,25.0,N/A
2025-12-01 10:01:58,0.00,0.000,25.0,N/A
2025-12-01 10:01:59,0.00,0.000,25.0,N/A
2025-12-01 10:02:00,0.00,0.000,25.0,N/A
2025-12-01 10:02:01,0.00,0.000,25.0,N/A
2025-12-01 10:02:02,0.00,0.000,25.0,N/A
2025-12-01 10:02:03,0.00,0.000,25.0,N/A
2025-12-01 10:02:04,0.00,0.000,25.0,N/A
2025-12-01 10:02:05,0.00,0.000,25.0,N/A
2025-12-01 10:02:06,0.00,0.000,25.0,N/A
2025-12-01 10:02:08,0.00,0.000,25.0,N/A
2025-12-01 10:02:09,0.00,0.000,25.0,N/A
2025-12-01 10:02:10,0.00,0.000,25.0,N/A
2025-12-01 10:02:11,0.00,0.000,25.0,N/A
2025-12-01 10:02:12,0.00,0.000,25.0,N/A
2025-12-01 10:02:13,0.00,0.000,25.0,N/A
2025-12-01 10:02:14,0.00,0.000,25.0,N/A
2025-12-01 10:02:15,0.00,0.000,25.0,N/A
2025-12-01 10:02:16,0.00,0.000,25.0,N/A
2025-12-01 10:02:17,0.00,0.000,25.0,N/A
2025-12-01 10:02:18,0.00,0.000,25.0,N/A
2025-12-01 10:02:19,0.00,0.000,25.0,N/A
2025-12-01 10:02:20,0.00,0.000,25.0,N/A
2025-12-01 10:02:21,0.00,0.000,25.0,N/A
2025-12-01 10:02:22,0.00,0.000,25.0,N/A
2025-12-01 10:02:23,0.00,0.000,25.0,N/A
2025-12-01 10:02:24,0.00,0.000,25.0,N/A
2025-12-01 10:02:25,0.00,0.000,25.0,N/A
2025-12-01 10:02:26,0.00,0.000,25.0,N/A
2025-12-01 10:02:27,0.00,0.000,25.0,N/A
2025-12-01 10:02:28,0.00,0.000,25.0,N/A
2025-12-01 10:02:29,0.00,0.000,25.0,N/A
2025-12-01 10:02:31,0.00,0.000,25.0,N/A
2025-12-01 10:02:32,0.00,0.000,25.0,N/A
2025-12-01 10:02:33,0.00,0.000,25.0,N/A
2025-12-01 10:02:34,0.00,0.000,25.0,N/A
2025-12-01 10:02:35,0.00,0.000,25.0,N/A
2025-12-01 10:02:36,0.00,0.000,25.0,N/A
2025-12-01 10:02:37,0.00,0.000,25.0,N/A
2025-12-01 10:02:38,0.00,0.000,25.0,N/A
2025-12-01 10:02:39,0.00,0.000,25.0,N/A
2025-12-01 10:02:40,0.00,0.000,25.0,N/A
2025-12-01 10:02:41,0.00,0.000,25.0,N/A
2025-12-01 10:02:42,0.00,0.000,25.0,N/A
2025-12-01 10:02:43,0.00,0.000,25.0,N/A
2025-12-01 10:02:44,0.00,0.000,25.0,N/A
2025-12-01 10:02:45,0.00,0.000,25.0,N/A
2025-12-01 10:02:46,0.00,0.000,25.0,N/A
2025-12-01 10:02:47,0.00,0.000,25.0,N/A
2025-12-01 10:02:48,0.00,0.000,25.0,N/A
2025-12-01 10:02:49,0.00,0.000,25.0,N/A
2025-12-01 10:02:50,0.00,0.000,25.0,N/A
2025-12-01 10:02:51,0.00,0.000,25.0,N/A
2025-12-01 10:02:52,0.00,0.000,25.0,N/A
2025-12-01 10:02:53,0.00,0.000,25.0,N/A
2025-12-01 10:02:55,0.00,0.000,25.0,N/A
2025-12-01 10:02:56,0.00,0.000,25.0,N/A
2025-12-01 10:02:57,0.00,0.000,25.0,N/A
2025-12-01 10:02:58,0.00,0.000,25.0,N/A
2025-12-01 10:02:59,0.00,0.000,25.0,N/A
2025-12-01 10:03:00,0.00,0.000,25.0,N/A
2025-12-01 10:03:01,0.00,0.000,25.0,N/A
2025-12-01 10:03:02,0.00,0.000,25.0,N/A
2025-12-01 10:03:03,0.00,0.000,25.0,N/A
2025-12-01 10:03:04,0.00,0.000,25.0,N/A
2025-12-01 10:03:05,0.00,0.000,25.0,N/A
2025-12-01 10:03:06,0.00,0.000,25.0,N/A
2025-12-01 10:03:07,0.00,0.000,25.0,N/A
2025-12-01 10:03:08,0.00,0.000,25.0,N/A
2025-12-01 10:03:09,0.00,0.000,25.0,N/A
2025-12-01 10:03:10,0.00,0.000,25.0,N/A
2025-12-01 10:03:11,0.00,0.000,25.0,N/A
2025-12-01 10:03:12,0.00,0.000,25.0,N/A
2025-12-01 10:03:13,0.00,0.000,25.0,N/A
2025-12-01 10:03:14,0.00,0.000,25.0,N/A
2025-12-01 10:03:15,0.00,0.000,25.0,N/A
2025-12-01 10:03:16,0.00,0.000,25.0,N/A
2025-12-01 10:03:17,0.00,0.000,25.0,N/A
2025-12-01 10:03:18,0.00,0.000,25.0,N/A
2025-12-01 10:03:20,0.00,0.000,25.0,N/A
2025-12-01 10:03:21,0.00,0.000,25.0,N/A
2025-12-01 10:03:22,0.00,0.000,25.0,N/A
2025-12-01 10:03:23,0.00,0.000,25.0,N/A
2025-12-01 10:03:24,0.00,0.000,25.0,N/A
2025-12-01 10:03:25,0.00,0.000,25.0,N/A
2025-12-01 10:03:26,0.00,0.000,25.0,N/A
2025-12-01 10:03:27,0.00,0.000,25.0,N/A
2025-12-01 10:03:28,0.00,0.000,25.0,N/A
2025-12-01 10:03:29,0.00,0.000,25.0,N/A
2025-12-01 10:03:30,0.00,0.000,25.0,N/A
2025-12-01 10:03:31,0.00,0.000,25.0,N/A
2025-12-01 10:03:32,0.00,0.000,25.0,N/A
2025-12-01 10:03:33,0.00,0.000,25.0,N/A
2025-12-01 10:03:34,0.00,0.000,25.0,N/A
2025-12-01 10:03:35,0.00,0.000,25.0,N/A
2025-12-01 10:03:36,0.00,0.000,25.0,N/A
2025-12-01 10:03:37,0.00,0.000,25.0,N/A
2025-12-01 10:03:38,0.00,0.000,25.0,N/A
2025-12-01 10:03:39,0.00,0.000,25.0,N/A
2025-12-01 10:03:40,0.00,0.000,25.0,N/A
2025-12-01 10:03:41,0.00,0.000,25.0,N/A
2025-12-01 10:03:43,0.00,0.000,25.0,N/A
2025-12-01 10:03:44,0.00,0.000,25.0,N/A
2025-12-01 10:03:45,0.00,0.000,25.0,N/A
2025-12-01 10:03:46,0.00,0.000,25.0,N/A
2025-12-01 10:03:47,0.00,0.000,25.0,N/A
2025-12-01 10:03:48,0.00,0.000,25.0,N/A
2025-12-01 10:03:49,0.00,0.000,25.0,N/A
2025-12-01 10:03:50,0.00,0.000,25.0,N/A
2025-12-01 10:03:51,0.00,0.000,25.0,N/A
2025-12-01 10:03:52,0.00,0.000,25.0,N/A
2025-12-01 10:03:53,0.00,0.000,25.0,N/A
2025-12-01 10:03:54,0.00,0.000,25.0,N/A
2025-12-01 10:03:55,0.00,0.000,25.0,N/A
2025-12-01 10:03:56,0.00,0.000,25.0,N/A
2025-12-01 10:03:57,0.00,0.000,25.0,N/A
2025-12-01 10:03:58,0.00,0.000,25.0,N/A
2025-12-01 10:03:59,0.00,0.000,25.0,N/A
2025-12-01 10:04:00,0.00,0.000,25.0,N/A
2025-12-01 10:04:01,0.00,0.000,25.0,N/A
2025-12-01 10:04:02,0.00,0.000,25.0,N/A
2025-12-01 10:04:03,0.00,0.000,25.0,N/A
2025-12-01 10:04:04,0.00,0.000,25.0,N/A
2025-12-01 10:04:05,0.00,0.000,25.0,N/A
2025-12-01 10:04:07,0.00,0.000,25.0,N/A
2025-12-01 10:04:08,0.00,0.000,25.0,N/A
2025-12-01 10:04:09,0.00,0.000,25.0,N/A
2025-12-01 10:04:10,0.00,0.000,25.0,N/A
2025-12-01 10:04:11,0.00,0.000,25.0,N/A
2025-12-01 10:04:12,0.00,0.000,25.0,N/A
2025-12-01 10:04:13,0.00,0.000,25.0,N/A
2025-12-01 10:04:14,0.00,0.000,25.0,N/A
2025-12-01 10:04:15,0.00,0.000,25.0,N/A
2025-12-01 10:04:16,0.00,0.000,25.0,N/A
2025-12-01 10:04:17,0.00,0.000,25.0,N/A
2025-12-01 10:04:18,0.00,0.000,25.0,N/A
2025-12-01 10:04:19,0.00,0.000,25.0,N/A
2025-12-01 10:04:20,0.00,0.000,25.0,N/A
2025-12-01 10:04:21,0.00,0.000,25.0,N/A
2025-12-01 10:04:22,0.00,0.000,25.0,N/A
2025-12-01 10:04:23,0.00,0.000,25.0,N/A
2025-12-01 10:04:24,0.00,0.000,25.0,N/A
2025-12-01 10:04:25,0.00,0.000,25.0,N/A
2025-12-01 10:04:26,0.00,0.000,25.0,N/A
2025-12-01 10:04:27,0.00,0.000,25.0,N/A
2025-12-01 10:04:28,0.00,0.000,25.0,N/A
2025-12-01 10:04:30,0.00,0.000,25.0,N/A
2025-12-01 10:04:31,0.00,0.000,25.0,N/A
2025-12-01 10:04:32,0.00,0.000,25.0,N/A
2025-12-01 10:04:33,0.00,0.000,25.0,N/A
2025-12-01 10:04:34,0.00,0.000,25.0,N/A
2025-12-01 10:04:35,0.00,0.000,25.0,N/A
2025-12-01 10:04:36,0.00,0.000,25.0,N/A
2025-12-01 10:04:37,0.00,0.000,25.0,N/A
2025-12-01 10:04:38,0.00,0.000,25.0,N/A
2025-12-01 10:04:39,0.00,0.000,25.0,N/A
2025-12-01 10:04:40,0.00,0.000,25.0,N/A
2025-12-01 10:04:41,0.00,0.000,25.0,N/A
2025-12-01 10:04:42,0.00,0.000,25.0,N/A
2025-12-01 10:04:43,0.00,0.000,25.0,N/A
2025-12-01 10:04:44,0.00,0.000,25.0,N/A
2025-12-01 10:04:45,0.00,0.000,25.0,N/A
2025-12-01 10:04:46,0.00,0.000,25.0,N/A
2025-12-01 10:04:47,0.00,0.000,25.0,N/A
2025-12-01 10:04:48,0.00,0.000,25.0,N/A
2025-12-01 10:04:50,0.00,0.000,25.0,N/A
2025-12-01 10:04:51,0.00,0.000,25.0,N/A
2025-12-01 10:04:52,0.00,0.000,25.0,N/A
2025-12-01 10:04:53,0.00,0.000,25.0,N/A
2025-12-01 10:04:54,0.00,0.000,25.0,N/A
2025-12-01 10:04:55,0.00,0.000,25.0,N/A
2025-12-01 10:04:56,0.00,0.000,25.0,N/A
2025-12-01 10:04:57,0.00,0.000,25.0,N/A
2025-12-01 10:04:58,0.00,0.000,25.0,N/A
2025-12-01 10:04:59,0.00,0.000,25.0,N/A
2025-12-01 10:05:00,0.00,0.000,25.0,N/A
2025-12-01 10:05:01,0.00,0.000,25.0,N/A
2025-12-01 10:05:02,0.00,0.000,25.0,N/A
2025-12-01 10:05:03,0.00,0.000,25.0,N/A
2025-12-01 10:05:04,0.00,0.000,25.0,N/A
2025-12-01 10:05:05,0.00,0.000,25.0,N/A
2025-12-01 10:05:06,0.00,0.000,25.0,N/A
2025-12-01 10:05:07,0.00,0.000,25.0,N/A
2025-12-01 10:05:08,0.00,0.000,25.0,N/A
2025-12-01 10:05:09,0.00,0.000,25.0,N/A
2025-12-01 10:05:10,0.00,0.000,25.0,N/A
2025-12-01 10:05:11,0.00,0.000,25.0,N/A
2025-12-01 10:05:13,0.00,0.000,25.0,N/A
2025-12-01 10:05:14,0.00,0.000,25.0,N/A
2025-12-01 10:05:15,0.00,0.000,25.0,N/A
2025-12-01 10:05:16,0.00,0.000,25.0,N/A
2025-12-01 10:05:17,0.00,0.000,25.0,N/A
2025-12-01 10:05:18,0.00,0.000,25.0,N/A
2025-12-01 10:05:19,0.00,0.000,25.0,N/A
2025-12-01 10:05:20,0.00,0.000,25.0,N/A
2025-12-01 10:05:21,0.00,0.000,25.0,N/A
2025-12-01 10:05:22,0.00,0.000,25.0,N/A
2025-12-01 10:05:23,0.00,0.000,25.0,N/A
2025-12-01 10:05:24,0.00,0.000,25.0,N/A
2025-12-01 10:05:25,0.00,0.000,25.0,N/A
2025-12-01 10:05:26,0.00,0.000,25.0,N/A
2025-12-01 10:05:27,0.00,0.000,25.0,N/A
2025-12-01 10:05:28,0.00,0.000,25.0,N/A
2025-12-01 10:05:29,0.00,0.000,25.0,N/A
2025-12-01 10:05:30,0.00,0.000,25.0,N/A
2025-12-01 10:05:31,0.00,0.000,25.0,N/A
2025-12-01 10:05:32,0.00,0.000,25.0,N/A
2025-12-01 10:05:33,0.00,0.000,25.0,N/A
2025-12-01 10:05:34,0.00,0.000,25.0,N/A
2025-12-01 10:05:36,0.00,0.000,25.0,N/A
2025-12-01 10:05:37,0.00,0.000,25.0,N/A
2025-12-01 10:05:38,0.00,0.000,25.0,N/A
2025-12-01 10:05:39,0.00,0.000,25.0,N/A
2025-12-01 10:05:40,0.00,0.000,25.0,N/A
2025-12-01 10:05:41,0.00,0.000,25.0,N/A
2025-12-01 10:05:42,0.00,0.000,25.0,N/A
2025-12-01 10:05:43,0.00,0.000,25.0,N/A
2025-12-01 10:05:44,0.00,0.000,25.0,N/A
2025-12-01 10:05:45,0.00,0.000,25.0,N/A
2025-12-01 10:05:46,0.00,0.000,25.0,N/A
2025-12-01 10:05:47,0.00,0.000,25.0,N/A
2025-12-01 10:05:48,0.00,0.000,25.0,N/A
2025-12-01 10:05:49,0.00,0.000,25.0,N/A
2025-12-01 10:05:50,0.00,0.000,25.0,N/A
2025-12-01 10:05:51,0.00,0.000,25.0,N/A
2025-12-01 10:05:52,0.00,0.000,25.0,N/A
2025-12-01 10:05:53,0.00,0.000,25.0,N/A
2025-12-01 10:05:54,0.00,0.000,25.0,N/A
2025-12-01 10:05:55,0.00,0.000,25.0,N/A
2025-12-01 10:05:56,0.00,0.000,25.0,N/A
2025-12-01 10:05:57,0.00,0.000,25.0,N/A
2025-12-01 10:05:59,0.00,0.000,25.0,N/A
2025-12-01 10:06:00,0.00,0.000,25.0,N/A
2025-12-01 10:06:01,0.00,0.000,25.0,N/A
2025-12-01 10:06:02,0.00,0.000,25.0,N/A
2025-12-01 10:06:03,0.00,0.000,25.0,N/A
2025-12-01 10:06:04,0.00,0.000,25.0,N/A
2025-12-01 10:06:05,0.00,0.000,25.0,N/A
2025-12-01 10:06:06,0.00,0.000,25.0,N/A
2025-12-01 10:06:07,0.00,0.000,25.0,N/A
2025-12-01 10:06:08,0.00,0.000,25.0,N/A
2025-12-01 10:06:09,0.00,0.000,25.0,N/A
2025-12-01 10:06:10,0.00,0.000,25.0,N/A
2025-12-01 10:06:11,0.00,0.000,25.0,N/A
2025-12-01 10:06:12,0.00,0.000,25.0,N/A
2025-12-01 10:06:13,0.00,0.000,25.0,N/A
2025-12-01 10:06:14,0.00,0.000,25.0,N/A
2025-12-01 10:06:15,0.00,0.000,25.0,N/A
2025-12-01 10:06:16,0.00,0.000,25.0,N/A
2025-12-01 10:06:17,0.00,0.000,25.0,N/A
2025-12-01 10:06:18,0.00,0.000,25.0,N/A
2025-12-01 10:06:19,0.00,0.000,25.0,N/A
2025-12-01 10:06:20,0.00,0.000,25.0,N/A
2025-12-01 10:06:21,0.00,0.000,25.0,N/A
2025-12-01 10:06:23,0.00,0.000,25.0,N/A
2025-12-01 10:06:24,0.00,0.000,25.0,N/A
2025-12-01 10:06:25,0.00,0.000,25.0,N/A
2025-12-01 10:06:26,0.00,0.000,25.0,N/A
2025-12-01 10:06:27,0.00,0.000,25.0,N/A
2025-12-01 10:06:28,0.00,0.000,25.0,N/A
2025-12-01 10:06:29,0.00,0.000,25.0,N/A
2025-12-01 10:06:30,0.00,0.000,25.0,N/A
2025-12-01 10:06:31,0.00,0.000,25.0,N/A
2025-12-01 10:06:32,0.00,0.000,25.0,N/A
2025-12-01 10:06:33,0.00,0.000,25.0,N/A
2025-12-01 10:06:34,0.00,0.000,25.0,N/A
2025-12-01 10:06:35,0.00,0.000,25.0,N/A
2025-12-01 10:06:36,0.00,0.000,25.0,N/A
2025-12-01 10:06:37,0.00,0.000,25.0,N/A
2025-12-01 10:06:38,0.00,0.000,25.0,N/A
2025-12-01 10:06:39,0.00,0.000,25.0,N/A
2025-12-01 10:06:40,0.00,0.000,25.0,N/A
2025-12-01 10:06:42,0.00,0.000,25.0,N/A
2025-12-01 10:06:43,0.00,0.000,25.0,N/A
